State,District,Latitude,Longitude,District code,Population,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Male_Workers,Female_Workers,Non_Workers,Agricultural_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Rural_Households,Urban_Households,Sex Ratio,Literacy rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,856350,626997,488596,242844,245752,495794,247472,248322,748939,574728,1417572,484912,2399901,275970,15422,1377,25510,617,597466,220248,100.14931399528476,54.112282803506005
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,1338474,972486,583135,292379,290756,154127,78573,75554,1208544,827622,2044982,879537,3599372,443456,20463,932,341,1417,902997,341431,97.68262940816035,56.62524368143473
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,1484794,1183084,785760,389582,396178,159165,79756,79409,1202223,731134,2240707,748093,3737588,397870,24129,867,253,1322,907970,395900,99.69648895514504,63.915598802509976
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,1716933,1571644,945269,468883,476386,213195,104422,108773,1545831,547850,3060615,1122046,4983330,77777,77825,738,413,4149,1199479,406362,100.58061523422299,63.80264152466215
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,1634726,1325715,957407,476333,481074,247089,125105,121984,1442370,939254,2506189,1227956,4217597,559770,89763,764,323,3282,1069877,513113,100.27744075957553,60.56780404651324
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,1542688,1349467,247927,124313,123614,48937,25556,23381,1045585,367712,2530026,23029,2046051,1713405,87522,11446,1268,19560,0,1066289,95.35181997200995,73.34309160066269
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1257238,949591,709757,352481,357276,106745,53495,53250,1049463,827305,1899501,756859,3491139,244723,24979,2086,332,312,877236,288044,100.77993407060826,58.43940143035361
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,901640,728594,462896,229905,232991,765565,378532,387033,802906,607156,1387308,804537,2595321,158887,33463,655,217,459,669262,201363,101.10669538486314,58.27738196949277
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,1598959,1410759,871063,435412,435651,132464,66734,65730,1327299,721581,2468518,1006976,4023678,307043,145598,1393,863,6320,909292,567042,99.2347097414411,66.62503503122815
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,1246369,880792,737945,370215,367730,82831,42052,40779,1164122,865303,2024038,1037302,3328380,670737,33165,737,255,2235,783853,306982,98.77448660693489,52.47762222080231
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,1158386,782260,708954,356099,352855,364269,187035,177234,1140067,942434,1970527,931084,3673456,334172,21345,658,290,388,848963,161052,97.67146283675366,47.881386459703705
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,953406,683731,537947,266413,271534,168985,86574,82411,837874,604329,1591085,571129,2637313,342449,34301,1309,554,457,593653,195479,99.1614085080399,53.972356070376435
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,1160757,840262,637385,318359,319026,394279,203876,190403,976428,765265,1747116,863131,3249231,188646,35025,937,241,250,833504,197433,98.25346692639728,57.35536109887357
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,790214,599596,371074,178798,192276,192941,95679,97262,684320,576756,1290259,448281,2123426,391596,19653,2357,1847,542,565165,155133,104.00218767815863,54.47383428675576
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,1107686,796749,787861,397242,390619,151145,76677,74468,991842,708725,1696881,889218,3150195,220654,18775,266,97,204,873486,214089,98.12918862304085,56.054868242280676
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,857824,637557,255664,125214,130450,166118,81382,84736,766483,523805,1412826,700833,2666950,9025,18879,193,77,160,752752,149684,101.46362404582715,55.32067829917643
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,707503,530885,247728,121493,126235,235556,114687,120869,679289,478673,1186512,557254,2299129,16423,17853,380,114,815,592458,157056,101.85281327137774,52.82157106455435
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,1179790,885233,616102,307709,308393,530656,268976,261680,960926,744729,1806921,758092,3273755,197333,31377,1453,253,569,758738,288249,99.65974736270101,58.78941836418628
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,1379223,1273166,811698,403693,408005,109072,53367,55705,1199338,573774,2163854,1061787,3733191,86142,109120,288,209,1578,1007255,248373,100.36286501523219,67.37139716218022
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,44027,29147,0,0,0,53878,27061,26817,39329,23637,85260,4208,47683,2134,35969,94,50381,95,33422,6498,92.63138743047253,49.3665079000985
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,21599,16850,0,0,0,72400,35266,37134,16424,15286,46980,1063,12333,652,37136,36,452,23,14503,5215,102.94003868471953,48.861354682933026
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,34210,28366,0,0,0,69979,34533,35446,23591,16631,58992,3565,27854,2289,18254,69,776,30,19497,9524,97.96871258679862,63.07174390710988
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,20258,16348,0,0,0,90764,44459,46305,18429,19615,54032,2947,4859,471,51189,43,121,81,18603,1092,103.17754534622003,39.756288283591815
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,48380,34682,0,0,0,47410,23457,23953,38910,22035,84781,7789,99020,3846,10684,210,24452,104,33599,11372,91.1887799950145,56.998751080795465
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,18087,13762,0,0,0,25974,12649,13325,14102,8224,31754,3354,28915,2247,9213,33,2932,19,12000,3950,92.77795601183473,58.89238165680474
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,29470,24587,0,0,0,72911,35803,37108,17339,12863,52828,1968,9551,1482,34402,27,193,13,18112,5365,98.43223478240088,65.1053835962905
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,65794,55254,0,0,0,117216,56469,60747,41263,24509,110801,1859,57027,6148,84397,310,4768,139,20308,30180,97.99174721356327,68.55408244748631
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,17720,8353,0,0,0,34811,16770,18041,19554,9007,21416,1581,11842,787,776,1164,34920,72,10730,2452,71.44180302562519,52.169998199171616
